Player,Rating
Carlsen Magnus,2882
Kasparov Garry,2849
Caruana Fabiano,2844
Aronian Levon,2830
So Wesley,2822
Vachier-Lagrave Maxime,2819
Kramnik Vladimir,2817
Anand Viswanathan,2817
Nakamura Hikaru,2816
Topalov Veselin,2816
Grischuk Alexander,2810
Mamedyarov Shakhriyar,2800
Giri Anish,2798
Radjabov Teimour,2793
Polgar Judit,2735
Le Quang Liem,2726
Xiong Jeffery,2674
Nguyen Ngoc Truong Son,2662
Korchnoi Viktor,2643
Short Nigel,2712
Tran Nhut An,1500
Doan Duc Nguyen Long,1400
